NETFLIX,NFLX
WALMART,WMT
AMAZON,AMZN
AMAZN,AMAZN
APPLE,AAPL
WAYFAIR,W
TESLA,TSLA
CHEGG,CHGG
BOEING,BA
PFIZER,PFE
FORD,F
ALIBABA,BABA
CLOUDFLARE,NET
BLACKROCK,BLK
COSTCO,COST
FACEBOOK,FB
FASTLY,FSLY
GOOGLE,GOOGL
MICROSOFT,MSFT
TWITTER,TWTR
DISNEY,DIS
PELOTON,PTON
PELETON,PTON
PEPSICO,PEP
PEPSI,PEP
DOMINOS,DPZ
INTEL,INTC
FEDEX,FDX
RAYTHEON,RTX
LOWES,LOW
WELLS FARGO,WFC
JPMorgan,JPM
JP Morgan,JPM
Chase,JPM
S&P,SPY
PAYPAL,PYPL
CISCO,CSCO
MCDONALDS,MCD
HOME DEPOT,HD
NVIDIA,NVDA
ACTIVISION,ATVI
KODAK,KODK
CORSAIR,CRSR
